id;kode_obat;nama_obat;satuan;harga_satuan;komposisi;kategori;keterangan;created_at;updated_at;deleted_at 
866;OBUM640;Siprofloksasin 3 mg/ml tetes mata;Botol;;;;;;;
867;OBUM641;Sitikolin Amp 1000 mg/8 ml;Ampul;;;;;;;
868;OBUM642;Sitikolin Amp 500 mg/4 ml;Ampul;;;;;;;
869;OBUM643;Sitikolin Amp 125mg/ml 2ml;Ampul;;;;;;;
870;OBUM644;Sitikolin Tablet 1000 Mg;Tablet;;;;;;;
871;OBUM645;Sitikolin Tablet 500 Mg;Tablet;;;;;;;
872;OBUM646;Sodium Klorida Semprot Hidung;Botol;;;;;;;
873;OBUM647;"Monoammonium glycyrrhizinate (sebagai glycyrrhizin) 4 mg
Aminoacetic acid 40 mg
L-cystein hydrochloride 2 mg Injeksi";Ampul;;;;;;;
874;OBUM648;Sulpirida tablet 200 mg;Tablet;;;;;;;
875;OBUM649;Sulpirida tablet 50 mg;Tablet;;;;;;;
876;OBUM650;Tablet Flu Batuk Bromheksin, Difenhidramin, Parasetamol;Tablet;;;;;;;
877;OBUM651;Tetes Mata : CaCl2 anhidrat 0.075 gr, Kalium iodida 0.075 gr, Na Tiosulfat 0.005 gr, Fenilmerkuri nitrat 0.3 mg Mini Dose ;Strip;;;;;;;
878;OBUM652;Tetes Mata : CaCl2 anhidrat 0.075 gr, Kalium iodida 0.075 gr, Na Tiosulfat 0.005 gr, Fenilmerkuri nitrat 0.3 mg;Botol;;;;;;;
879;OBUM653;Tetes Mata : Dexamethasone/Deksametason 0,1 %, Neomisin sulfat 3,5 mg/mL, Polimiksin B sulfat 6000 iu/mL. Mini Dose (Cendo Xitrol);Strip;4.987;;;;;;
880;OBUM654;Tetes Mata : Deksametason 0,1%, Neomisin sulfat 3,5 mg, Polimiksin-B-Sulfat 6000 UI ;Botol;;;;;;;
881;OBUM655;Tetes Mata : HPMC 5 mg, Dextran (70) 1 mg.;pcs;4.600;;;;;;
882;OBUM656;Tetes Mata : HPMC 5 mg, Dextran (70) 1 mg Tetes mata;Botol;;;;;;;
883;OBUM657;tetesMata :Tobramisin 3 mg + Deksametason 1 mg mini dose/ml.;Strip;;;;;;;
884;OBUM658;tetes Mata : Tobramisin 3 mg + Dexamethason 1 mg/ml.;Botol;;;;;;;
885;OBUM659;Thiamphenicol sirup 125/5ml;Botol;10.500;;;;;;
886;OBUM660;Tiamfenikol kapsul 500 mg;Kapsul;762;;;;;;
887;OBUM661;Tiap 100 gram mengandung Heparin sodum 20.000 IU;Tube;;;;;;;
888;OBUM662;Tigesiklin injeksi 50 mg/5ml;Vial;;;;;;;
889;OBUM663;Tizanidine tablet 2 mg;Tablet;;;;;;;
890;OBUM664;Tramadol 37,5 mg + Parasetamol 325 mg;Tablet;;;;;;;
891;OBUM665;Tramadol injeksi;Ampul;;;;;;;
892;OBUM666;Tramadol Kapsul 50 Mg;Kapsul;;;;;;;
893;OBUM667;Tramadol Supp 100 mg ;Suppos;;;;;;;
894;OBUM668;Terbutaline sulfat injeksi;Ampul;;;;;;;
895;OBUM669;Terbutaline sulfat tab 2,5 mg;Tablet;;;;;;;
896;OBUM670;Trifluoperazine tab 1 mg;Tablet;;;;;;;
897;OBUM671;Trifluoperazine tab 5 mg;Tablet;287;;;;;;
898;OBUM672;Trimetazidine hidroklorida tablet 35 mg;Tablet;;;;;;;
899;OBUM673;Tripolidin HCl 2mg,Pseudoefedrin HCl 30 mg, Parasetamol 500 mg tablet;Tablet;;;;;;;
900;OBUM674;Valsartan tab 160 mg;Tablet;;;;;;;
901;OBUM675;Valsartan tab 80 mg;Tablet;;;;;;;
902;OBUM676;Vekuronium bromida Vial 10 Mg;Vial;;;;;;;
903;OBUM677;Vekuronium bromida Vial 4 Mg;Vial;;;;;;;
904;OBUM678;Vit A palmitate, karbomer gel 10 gram;Tube;;;;;;;
905;OBUM679;Vit B1 100 mg, B6 200 mg, B12 200 mcg injeksi;Ampul;;;;;;;
906;OBUM680;Vit B1 100 Mg, Vit B6 50 Mg, Vit B12 100 Mcg, Vit E 30 Iu.;Tablet;;;;;;;
907;OBUM681;Vit B1 100 mg,vit B6 100 mg, vit B12 5000 mcg;Ampul;;;;;;;
908;OBUM682;Vit B1 100mg + Vit B6 100mg + Vit B12 5000ug tablet;Tablet;;;;;;;
909;OBUM683;Vit B1 100mg + Vit B6 200mg + Vit B12 200ug tablet;Tablet;;;;;;;
910;OBUM684;Vit B1, B2, B6, B12, Vit C 500Mg, Ca Pantotenate tablet (PRITAVIT);Tablet;660;;;;;;
911;OBUM685;Vit B1, B2, B3, B6, B12, Vit C 500Mg, Ca Pantotenate, Tocopherol Vit E)  tablet;Tablet;;;;;;;
912;OBUM686;Vitamin A 4000 IU, C 50 mg, D 400 IU, E 10 mg, B1 3mg, B2 3 mg, B6 2 mg, B12 2 mcg, B3 20 mg, Ca pantotenat 5 mg, Asam folat 1 mg, Biotin 0.1 mg, Fe fumarat 20 mg, Ca 100 mg, Cu 0.5 mg, Mn 0.5 mg, Mg 1 mg, Zn 0.25 mg tablet;Tablet;;;;;;;
913;OBUM687;Vitamin B1 100 Mg Tab (Thiamin/Aneurin Hcl);Tablet;;;;;;;
914;OBUM688;Vitamin C injeksi 200 mg/ ml;Ampul;;;;;;;
915;OBUM689;Vitamin C injeksi 500 mg/5 mL;Ampul;;;;;;;
916;OBUM690;YAL JELLY SOLUTION;Botol;;;;;;;
917;OBUM691;Fenoterol Hbr 0,1% for Inhalation larutan 50 ml (Berotec);Botol;130.190;;;;;;
918;OBUM692;Klozapine tab 100 mg;Tablet;3.288;;;;;;
919;OBUM693;Diazepam inj 10 mg/mL (i.v./i.m.);ampul;;;;;;;
920;OBUM694;Sakarin pemanis tablet;Tablet;84;;;;;;
921;OBUM695;MEYLON 8,4% 25ML;BOTOL;6.448;;;;;;
922;OBUM696;HALOPERIDOL INJ 5MG DECANOAT;AMPUL;101.300;;;;;;
923;OBUM697;PARASETAMOL DRIP 1GR/100ML;BOTOL;6.649;;;;;;
924;OBUM698;Asetilsistein;Tablet;339;;;;;;
925;OBUM699;Dextromethorphan, maleate, phenylephrine Tablet (Dextral Tab);Tablet; - ;;;;;;
926;OBUM700;KOMBIPAK azytromicin + cefixime 200 (HIBAH Dropping SUDIN);PAKET;;;;;;;
927;OBUM701;ENDOFORST;BOTOL;;;;;;;
928;OBUM702;Metkovazin Zalf 25 gram (Merah);Tube;105.600;;;;;;
929;OBUM703;Metkovazin Zalf 50 gram (Hijau);Tube;132.000;;;;;;
930;OBUM704;Sabun Luka;Botol;62.920;;;;;;
931;OBUM705;CAVIDOGEL;PCS;65.000;;;;;;
932;OBUM706;Algele 10x10 cm;lembar;52.800;;;;;;
933;OBUM707;Betametason krim 1 % (sediaan 10 gram);tube;1.540;;;;;;
934;OBUM708;Opticelle Silicone Foam ;PCS;65.450;;;;;;
935;OBUM709;Azitromicin (hibah);tablet ;;;;;;;
936;OBUM710;Favipiravir (hibah);tablet;;;;;;;
937;OBUM711;Oseltamivir (hibah);tablet ;;;;;;;
938;OBUM712;MULTIVITAMIN (hibah);BOTOL;;;;;;;
939;OBUM713;VITAMIN C 500 mg (hibah);tablet ;;;;;;;
940;OBUM714;Asetilsistein (hibah);kapsul;;;;;;;
941;OBUM715;Parasetamol 500 mg (hibah);tablet;;;;;;;
942;OBUM716;BIONICOM ZINC (hibah);Tablet ;;;;;;;
943;OBUM717;vit D 1000 iu (hibah);kapsul;;;;;;;
944;OBUM718;Askina calgitrol;tube;110.781;;;;;;
945;OBUM719;Prontosan;botol;96.505;;;;;;
946;OBUM720;Mometason ;TUBE;5.743;;;;;;
947;OBUM721;Hevitplus;tablet ;990;;;;;;
948;OBUM722;DESOXIMETASON ;Tube;8.180;;;;;;
949;OBUM723;FERRYZ SIRUP;BOTOL;45.100;;;;;;
950;OBUM724;KDT DOSIS HARIAN (HIBAH);Paket;414.310;;;;;;
951;OBUM725;Hydrocoloid Foam ;buah ;;;;;;;
952;OBUM726;Hydrogelle amorgelle;buah ;;;;;;;
953;OBUM727;Winner Super Absorbent Dressing 7,5cmx7,5cm;box;;;;;;;
954;OBUM728;Winner Silicone Foam Dressing With Bonder 7,5x7,5cm;box ;;;;;;;
955;OBUM729;Opticell lite ;box ;;;;;;;
956;OBUM730;Ketorolac injeksi 30 mg/ml;Ampul;13.514;;;;;;
957;OBUM731;Winner Papertape with dispenser;buah ;;;;;;;
958;OBUM732;Molnupiravir (HIBAH);Tablet;;;;;;;
959;OBUM733;Ramaflu ( Paracetamol 500 mg, pseudoephedrine HCl 30 mg, dextromethorphan HBr 15 mg, Chlorpheniramine maleate 2 mg);Tablet;441;;;;;;
960;OBUM734;Biolysin ;Tablet;418;;;;;;
961;OBUM735;Ondancentron 8mg Injeksi;Ampul;4.200;;;;;;
962;OBUM736;sigprocare antiseptik rawat luka 500ml;botol;57.800;;;;;;
963;OBUM737;sigprocare antiseptik rawat luka 100ml;Botol;3.900;;;;;;
